Model,Test Accuracy,Test Precision,Test Recall,Test F1,Test ROC-AUC,Test PR-AUC
Random Forest,0.9152542372881356,0.9320388349514563,0.6037735849056604,0.732824427480916,0.9677566876938888,0.8891390566093653
XGBoost,0.9334140435835351,0.9262295081967213,0.710691823899371,0.8042704626334519,0.9579738432670457,0.8871147546934185
KNN,0.8728813559322034,0.7596153846153846,0.4968553459119497,0.6007604562737643,0.9118695369296483,0.6828544201454125
Gradient Boosting,0.8680387409200968,0.8048780487804879,0.41509433962264153,0.5477178423236515,0.8730917560087881,0.7009514418276132
Decision Tree,0.8983050847457628,0.7419354838709677,0.7232704402515723,0.732484076433121,0.8316502126295343,0.58988876919079
Logistic Regression,0.8438256658595642,0.7205882352941176,0.3081761006289308,0.43171806167400884,0.8197505021074368,0.603010837510832
