Model,CV ROC-AUC,Test Accuracy,Test Precision,Test Recall,Test F1,Test ROC-AUC,Test PR-AUC
Random Forest,0.9614627354435008,0.9043583535108959,0.9444444444444444,0.5345911949685535,0.6827309236947792,0.9669410577730002,0.8916690271033718
KNN,0.9409910251223271,0.9213075060532687,0.8790322580645161,0.6855345911949685,0.7703180212014135,0.948945338651429,0.8495895605417939
